symbol,series,open,high,low,close,last,tottrdqty,timestamp,gain
GAL,EQ,3.6,4.2,3.55,3.85,3.9,5424032,2022-12-21,0.06944444628409402
AMEYA,SM,43.3,46.25,43.25,46.25,46.25,12000,2022-12-21,0.0681293490743192
JINDWORLD,EQ,426.0,458.5,417.7,454.7,451.3,1308510,2022-12-21,0.06737092067378228
IPSL,SM,83.9,97.95,83.0,89.2,89.2,428000,2022-12-21,0.06317038529169157
METROPOLIS,EQ,1292.8,1385.5,1291.0,1370.85,1372.2,1861301,2022-12-21,0.06037277522425981
MOREPENLAB,EQ,31.2,33.7,30.9,33.0,33.2,13818600,2022-12-21,0.0576922818283599
GAYAHWS,EQ,0.9,0.95,0.9,0.95,0.95,838540,2022-12-21,0.05555557027275219
TIJARIA,BE,6.55,7.05,6.55,6.9,7.0,95532,2022-12-21,0.053435098387882775
WELENT,EQ,155.15,165.9,155.0,163.4,161.65,1059413,2022-12-21,0.05317434949758603
UGROCAP,N6,951.0,1000.0,890.0,1000.0,1000.0,54,2022-12-21,0.05152471083070452
FELIX,SM,76.1,80.0,76.0,80.0,80.0,16000,2022-12-21,0.05124837850299246
SUBCAPCITY,EQ,91.0,96.85,90.3,95.65,93.1,1978,2022-12-21,0.051098917866801166
ALLETEC,ST,125.0,131.25,120.1,131.25,131.25,2785600,2022-12-21,0.05
OILCOUNTUB,EQ,17.1,17.95,17.1,17.95,17.95,150633,2022-12-21,0.04970762353846626
GICL,SM,42.65,44.75,42.65,44.75,44.75,6000,2022-12-21,0.049237946049002355
FINPIPE,EQ,177.15,191.0,176.9,185.8,183.65,6145022,2022-12-21,0.048828729626307375
JAIBALAJI,EQ,49.05,58.55,49.05,58.55,58.55,3080022,2022-12-20,0.19367992146312035
MALUPAPER,EQ,35.4,42.15,35.15,42.15,42.15,1701270,2022-12-20,0.19067795788272673
ASTRON,EQ,34.4,41.25,34.4,40.2,40.2,2178182,2022-12-20,0.16860462150553232
BALKRISHNA,EQ,33.0,38.5,32.2,38.5,38.5,169594,2022-12-20,0.16666666666666666
JUNIORBEES,EQ,399.3,461.0,399.3,458.89,458.12,111970,2022-12-20,0.1492362351044331
NELCAST,EQ,104.9,119.75,102.6,118.4,118.4,2984215,2022-12-20,0.1286939924082798
NITCO,EQ,26.25,31.05,26.15,29.6,29.15,1132999,2022-12-20,0.12761906215122767
FACT,EQ,260.0,292.7,256.5,292.7,292.7,8926626,2022-12-20,0.12576927771935095
PARSVNATH,EQ,9.3,10.45,9.2,10.45,10.45,2466108,2022-12-20,0.12365587042417074
SUMEETINDS,EQ,6.5,7.4,6.5,7.3,7.3,1554775,2022-12-20,0.1230769524207482
PATINTLOG,EQ,13.95,16.5,13.95,15.6,15.5,3790585,2022-12-20,0.11827961252793087
KANDARP,SM,14.5,16.2,14.5,16.2,16.2,12000,2022-12-20,0.11724143192685883
SPIC,EQ,72.45,82.8,71.4,80.9,80.85,15916823,2022-12-20,0.11663222820662571
CHEMPLASTS,EQ,435.7,488.0,430.6,480.65,476.8,1522846,2022-12-20,0.10316727204518479
MADRASFERT,EQ,84.4,93.05,83.25,93.05,93.05,7866002,2022-12-20,0.10248816788500442
FEL,EQ,1.5,1.65,1.45,1.65,1.65,6081765,2022-12-20,0.09999998410542806
GENUSPAPER,EQ,18.3,21.15,18.25,20.05,20.15,7384148,2022-12-20,0.09562841928736032
CONFIPET,EQ,78.7,86.75,77.9,85.95,86.4,7713597,2022-12-20,0.09212198578315108
DONEAR,EQ,88.0,98.4,83.55,96.1,97.0,2371511,2022-12-20,0.09204543720592152
MURUDCERA,EQ,41.05,46.15,40.95,44.8,45.0,960509,2022-12-20,0.09135201144204759
GRAVITA,EQ,422.45,468.6,421.95,459.8,466.75,1396471,2022-12-20,0.0884127695743403
SREIBNPNCD,Y7,350.0,380.0,350.0,380.0,380.0,100,2022-12-20,0.08571428571428572
SHRIRAMFIN,YN,1376.1,1492.0,1376.1,1492.0,1492.0,11,2022-12-20,0.0842235495024355
CEREBRAINT,EQ,13.9,15.25,13.9,15.05,15.1,35356720,2022-12-20,0.08273385638597493
IRFC,EQ,32.95,35.9,32.6,35.65,35.7,181272162,2022-12-20,0.08194235813118043
NHBTF2023,N1,8141.0,10200.0,8141.0,10200.0,10200.0,14,2022-12-19,0.25291733202309297
