symbol,series,date1,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_q_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
CHAMBLFERT, EQ,2022-12-22,301.75,305.45,305.7,291.6,294.65,295.05,296.57,1664648,4936.8,21437,366984,22.05
CHEMBOND, EQ,2022-12-22,255.45,258.9,259.35,233.05,235.2,237.2,240.81,86291,207.8,2965,41934,48.6
CHEMCON, EQ,2022-12-22,292.6,295.05,296.95,283.4,286.95,286.85,286.63,128692,368.88,6400,53066,41.23
CHEMFAB, EQ,2022-12-22,285.5,293.9,293.9,271.25,271.25,271.25,274.11,23818,65.29,581,17673,74.2
CHEMPLASTS, EQ,2022-12-22,454.0,454.8,460.0,434.3,438.95,439.75,442.62,162007,717.08,7936,56384,34.8
CHENNPETRO, EQ,2022-12-22,211.7,212.8,214.25,201.5,202.95,202.35,204.85,572991,1173.75,11563,232843,40.64
CHEVIOT, EQ,2022-12-22,1178.95,1166.55,1176.25,1148.0,1148.0,1150.5,1158.41,2228,25.81,702,1315,59.02
CHOICEIN, EQ,2022-12-22,249.55,249.5,250.55,239.15,240.0,242.75,243.28,31674,77.06,1224,15935,50.31
CHOLAFIN, EQ,2022-12-22,722.55,725.0,730.7,711.6,715.4,716.85,719.11,758437,5454.03,21920,258456,34.08
CHOLAHLDNG, EQ,2022-12-22,589.9,590.4,593.85,570.55,574.95,574.9,581.22,21145,122.9,2543,10985,51.95
CIGNITITEC, EQ,2022-12-22,539.5,542.2,542.2,527.15,540.95,537.55,534.51,46620,249.19,2353,31307,67.15
CINELINE, EQ,2022-12-22,110.35,110.2,111.55,107.05,107.05,107.65,108.69,81488,88.57,1015,59592,73.13
CINEVISTA, EQ,2022-12-22,12.9,12.55,12.9,12.25,12.5,12.5,12.51,23984,3.0,190,13573,56.59
CIPLA, EQ,2022-12-22,1128.0,1135.0,1147.35,1117.05,1122.0,1122.45,1129.86,2070809,23397.3,60299,543324,26.24
CLEAN, EQ,2022-12-22,1476.6,1484.0,1491.5,1455.0,1464.0,1461.4,1463.96,44212,647.24,6112,23283,52.66
CLEDUCATE, EQ,2022-12-22,77.8,77.7,78.5,73.0,74.2,74.7,74.68,37756,28.2,759,21455,56.83
CLNINDIA, EQ,2022-12-22,372.95,372.75,374.35,361.05,363.7,363.05,364.44,28573,104.13,3373,17200,60.2
CLOUD, SM,2022-12-22,959.1,956.0,990.0,911.15,911.15,911.15,917.4,273000,2504.52,328,132500,48.53
CLSEL, EQ,2022-12-22,122.9,124.0,128.0,118.9,123.7,123.3,123.16,244275,300.85,3660,143160,58.61
CMICABLES, EQ,2022-12-22,18.85,18.85,19.05,17.2,17.9,17.85,17.87,83840,14.98,808,50945,60.76
CMMIPL, SM,2022-12-22,7.95,8.0,8.0,7.6,7.6,7.6,7.8,6000,0.47,2,6000,100.0
CMRSL, SM,2022-12-22,250.0,240.0,240.0,232.0,240.0,240.0,233.14,11200,26.11,3,11200,100.0
CMSINFO, EQ,2022-12-22,295.9,298.5,301.75,288.1,292.1,291.65,292.61,308051,901.38,11599,192568,62.51
COALINDIA, EQ,2022-12-22,223.85,224.1,225.75,219.1,222.25,222.7,221.49,4755089,10532.2,62051,2292609,48.21
COASTCORP, EQ,2022-12-22,246.25,247.0,247.0,235.0,237.0,237.1,238.27,29237,69.66,1176,19874,67.98
COASTPP, E1,2022-12-22,77.35,72.95,81.05,71.5,72.0,72.75,74.82,858,0.64,29,367,42.77
COCHINSHIP, EQ,2022-12-22,598.0,598.5,608.4,536.3,544.0,544.25,562.99,1852391,10428.7,54218,484315,26.15
COFFEEDAY, EQ,2022-12-22,49.9,50.45,51.2,47.6,47.85,47.95,48.66,3301528,1606.49,10342,1418087,42.95
COFORGE, EQ,2022-12-22,3920.4,3972.0,3972.0,3816.5,3882.0,3885.6,3880.64,259590,10073.8,22476,57701,22.23
COLPAL, EQ,2022-12-22,1576.0,1577.5,1592.25,1575.55,1586.0,1586.1,1582.73,371317,5876.93,13739,273627,73.69
COMPINFO, EQ,2022-12-22,21.25,21.8,22.4,20.3,21.05,21.0,21.02,1688049,354.82,3494,668957,39.63
COMPUSOFT, EQ,2022-12-22,21.45,21.25,21.7,20.0,20.8,20.4,20.5,98265,20.15,807,67857,69.06
